pickup_lat_grid,pickup_lon_grid,pct_morning_cell,pct_afternoon_cell,pct_evening_cell,pct_late_night_cell,pct_weekend_cell,pct_weekday_cell,pct_short_cell,pct_medium_cell,pct_long_cell,total_trips,pct_morning_city,pct_afternoon_city,pct_evening_city,pct_late_night_city,pct_weekend_city,pct_weekday_city,pct_short_city,pct_medium_city,pct_long_city,late_night_dev,weekend_dev,short_dev,night_life_score,night_rank
41.935,-87.643,18.33,19.2,29.75,32.72,46.22,53.78,30.4,59.94,9.66,86300,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,6.16,14.36,4.2399999999999984,8.2533333333333321,49
41.938,-87.647,14.17,21.55,29.01,35.27,43.24,56.76,30.74,60.66,8.59,125658,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,8.7100000000000044,11.380000000000003,4.5799999999999983,8.2233333333333345,50
41.798,-87.594,15.58,20.97,41.16,22.29,31.33,68.67,55.4,27.84,16.76,107492,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-4.27,-0.53000000000000114,29.24,8.1466666666666665,51
41.98,-87.671,10.15,22.86,32.33,34.66,43.0,57.0,29.99,57.74,12.27,103904,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,8.0999999999999979,11.14,3.8299999999999983,7.6899999999999986,52
41.965,-87.743,12.86,16.57,24.91,45.66,48.99,51.01,12.99,61.6,25.41,12832,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,19.099999999999998,17.130000000000003,-13.17,7.6866666666666674,53
41.798,-87.604,23.53,18.06,34.53,23.88,32.51,67.49,50.56,29.54,19.9,50463,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-2.6799999999999997,0.64999999999999858,24.400000000000002,7.456666666666667,54
41.912,-87.675,6.8,16.18,38.4,38.62,45.3,54.7,21.87,70.99,7.14,59882,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,12.059999999999999,13.439999999999998,-4.2899999999999991,7.0699999999999994,55
41.915,-87.646,13.78,16.76,32.42,37.04,39.0,61.0,29.54,61.41,9.06,78788,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,10.48,7.1400000000000006,3.379999999999999,7.0,56
41.916,-87.684,13.32,16.96,33.82,35.89,46.16,53.84,23.27,68.5,8.24,64751,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.3300000000000018,14.299999999999997,-2.8900000000000006,6.9133333333333331,57
41.915,-87.632,17.63,21.07,30.42,30.88,40.94,59.06,33.39,57.75,8.86,466072,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,4.32,9.0799999999999983,7.23,6.876666666666666,58
41.898,-87.641,33.76,22.09,31.48,12.67,32.31,67.69,59.93,29.57,10.5,58745,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-13.889999999999999,0.45000000000000284,33.769999999999996,6.7766666666666664,59
41.963,-87.684,9.73,17.08,33.4,39.8,42.42,57.58,22.29,67.16,10.55,43535,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,13.239999999999998,10.560000000000002,-3.870000000000001,6.6433333333333335,60
41.935,-87.647,15.43,21.99,32.38,30.2,41.07,58.93,33.01,57.75,9.25,143451,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,3.6400000000000006,9.21,6.8499999999999979,6.5666666666666664,61
